,log2 Fold Change,-log10 P-Value
Ncapd3,0.7104467624489958,1.4519878539448319
Fbxo22,0.5121140381758261,1.4131430533341116
Mtch2,0.5702865519202491,1.6518012545034912
Mycbp2,0.6473909120751625,2.547891435260115
Mtmr10,0.5885055642781902,1.3633064525202536
Mybbp1a,0.7884884993956163,1.4200436771414222
Ctdp1,0.6004510210066061,4.272093044756444
Epg5,0.8006042744738044,2.096815546683074
Vprbp,0.5148318173610946,1.710824999195317
Mogs,1.2991208454143988,2.3043116138974242
Ankzf1,0.672493150100635,1.3309544018101085
Sdad1,0.6522820020255848,1.3545487781080128
Fancd2,0.6911836273961881,1.7683144368983448
Sra1,0.5680780186236899,1.9741800402083454
Kif20b,0.7379450588455657,1.9996795544703816
Gadl1,0.812389568764258,1.3860797596714645
Ddx10,0.6794994343015516,1.3490602388552162
Dpp8,0.5244604469072881,2.2857041050251152
Stk17b,0.8232136735337418,1.4644557567028877
Txnip,2.162687939495408,1.450702529891671
Cwf19l2,0.838305856161985,3.5851265990503602
Krr1,0.5203540098069929,1.8576726490989897
Cpt1c,0.9594487285808718,1.4820664186173886
Cept1,1.1023168926799491,1.7675389725666206
Fam210a,0.7094421900540011,1.3973493459203272
Pck2,1.456208950805988,1.636148938007554
Arl6ip6,0.7149072576706271,1.9834202807979955
Slc25a12,0.6971995573475476,1.8055740995481038
Rcn3,2.4875447690818246,1.483108974611526
Rhbdd1,1.2252020124025391,1.655852062157625
Iars2,0.6142121289942335,1.6801903768869066
Sun2,1.0124808891683945,1.6509701228421076
Fam73b,0.7341235487437535,1.3787095515298615
Cyp20a1,0.6309287589864496,1.7906583317901277
Nceh1,0.8238601878520857,1.4285744789825183
Dlat,0.8834830844818621,1.3337820401147706
Fbxo38,0.7237433941470541,1.742302738290531
Lars,1.225099909034512,1.8581938415159194
Nars,1.1985173414175876,1.7569566632273892
Tmem209,0.6900937685456983,2.3496575346852224
Kmt2c,0.5200017069044182,1.5506709730067234
Tusc3,0.6340271582640338,1.440047881283511
Lmod1,1.8933361614390103,1.9630480547484488
Steap2,1.0985040891090558,1.8582235581591537
Slc38a7,1.2296823681057845,1.4203075216365177
Kank2,0.6072206497848075,1.4422415385073597
Vps13c,0.6153351514507158,1.7084686585011615
Tmx3,1.0554169002641824,2.054992652753713
Slc9a9,1.9412764329568406,2.772967692123431
Rps6ka5,0.5945803188469168,1.423433759537168
Arhgap12,0.5500790540106273,1.7087039390355239
Vps26b,0.5396044648061358,1.4096696696772222
Asrgl1,1.4582036696623002,2.3187082626160427
Znf451,0.5236924926030018,2.0422449735684944
Itfg3,0.6813447936639442,1.344808339842757
Tmem120a,0.7230361288679634,1.424654337677653
Layn,1.5304994213667307,1.863997862307173
Rft1,0.7502313591954536,1.6788103403914438
Lmf2,0.6509994012219087,1.5491342343486247
Nadk2,0.8779542687640787,1.8550747021208152
Kiaa0556,0.8294692374251255,1.4898620041546684
Ank2,1.2582683594925153,2.102206635759022
Parp9,0.7863058126839269,1.3346413460048943
Nemf,0.7005354688584682,1.402443386925158
Lonp1,1.6734932477981126,2.4578524726191904
Nradd,0.9308965325610207,1.9115653152149683
Afg3l2,0.6040625977356633,1.3172568320155205
Nudt13,1.1868244546448918,2.0617331319567547
Aldh1l2,1.9251295304403868,1.981697601964119
Akr1c18,2.181163675825461,4.13184729108551
Kctd15,1.0815106527921599,1.482383216584869
Dcun1d3,0.5122528764275212,1.6648942483496492
Phldb2,0.823743637047338,1.9826686833619465
Neil3,0.5424690023375974,1.348656642315853
Nat10,0.66084772586004,1.3158550377965181
Gulp1,1.9487748547468262,5.581994546315543
Alg3,0.8208583025686663,1.5473575253610812
ptplad1,0.8640785658158026,1.3987566339743687
Alkbh6,0.7529088477338549,1.6645020695305932
Pigu,0.558637820435444,1.3671524405579545
Acat1,0.5531645186705084,1.5447589373335129
Sccpdh,0.6590511480881674,1.7641315892655114
Cgref1,2.166983040604914,2.4331218371321324
Pomt1,0.6966975846513251,1.876855821123491
Nop14,0.580365630607843,1.5227291887507444
Tmem66,0.7455034161296861,1.441902661388527
Bbx,0.7608900417641955,2.076059635508183
Nrm,0.9586774803455482,1.3258048068599901
Ndc1,0.7284587660986271,1.3951041067997976
Cth,3.5424753813144387,1.3763821092261663
Pik3r4,0.5493802990727987,1.6454087748741073
Lars2,0.6507463913972459,1.4896390150417729
Fyco1,0.5117132954625598,1.859958352014056
Adpgk,1.056012484310226,2.3204128140768163
Dock6,1.0382871852825029,1.6746197573680637
Nle1,0.514180128249904,1.4439410014004528
Noc3l,0.6195731909281806,1.3628152612799551
Lpcat3,0.81819505334228,1.342292056431044
Ghitm,1.1871577784858705,3.1231372398410553
Gcsh,3.4142947156429337,2.0846823898155815
Gorasp1,0.8084751363147092,1.7966446605336863
Yif1a,0.7130989027411441,1.5516442134151487
Atl3,0.9695485025136135,1.7956956177946932
Thyn1,0.9973940732650984,1.6526349646176584
Ppan,0.534522168040818,1.9292329230346268
Lrp1,0.5804847220904994,2.290356169496274
Scpep1,1.1449003616664326,2.2553995497447192
Acaa1a,0.6468544282938012,1.587794876129739
Tor1aip1,0.9280377440189467,1.5480188989287285
Tnfaip8,0.7443950313472556,1.3813419064978658
Prmt3,0.550520579629304,1.7147126287527863
Cdca7l,0.8438351175560371,1.5943406307399268
Abhd14a,0.7149914606020021,1.4136565469667806
Pycr1,2.019703692405934,2.202425591317398
Trpm7,0.9067061023873646,1.530679118123712
Mto1,0.8917214854389455,2.5036687244839055
Slc33a1,1.0754878506762378,1.477316036429688
Psph,1.7968386461003183,1.5412690471135462
Dnaja3,0.7299709506130468,1.731356647926655
Dhx30,0.6990571573229121,1.5949480916851044
Zdhhc6,0.6582144383263635,1.4455891235604108
Cdca5,0.6216123482532668,1.3226963392377593
Fam195a,1.0115587387333658,1.748726084226851
Spg21,0.5082703781367337,3.8240861719314903
Pomp,0.7123377547172312,1.854232640617116
Dnajc19,0.6018101585362299,2.4241833107198913
Nhp2,0.517509857662734,2.0071975515890452
Vkorc1,1.1064103424083496,1.5051217023834988
Raver1,0.5596439311302763,2.5700354398483256
Arhgef25,0.5705460325806069,2.088844216132768
Steap1,1.381452492430239,1.4076291278097914
Cxxc1,0.6017990594671406,1.7973814663185963
Yif1b,0.7529730107471942,1.94825698185997
L3hypdh,1.0561951810550965,1.9602256045927375
Sgol1,0.6805922367813512,1.4903451936239334
Dhrs7,1.5562146506175247,2.0018847934514223
Srfbp1,0.5130359605858251,1.9069297247839037
Rab32,2.1905633451134534,1.5287826486032001
Tomm40l,0.8694861067066507,1.9306328709529597
Cmss1,1.058339949694027,2.2966413892121724
Tomm70a,0.6675340618283844,1.7207658659629084
Mtpap,0.8191321965836422,1.5881852774662888
Lman1,0.7924516788831164,1.8991553552928477
Adck1,1.0387032539578862,1.3762418036557216
Wdr89,0.573927956356525,2.4417779689367203
Ebag9,0.8368334065450115,2.5809964221238317
Ndufaf4,1.1784816252068795,1.6470341821656158
Fkbp11,0.6950169031048741,1.3417196971623904
Fam111a,0.7847201610979708,1.9637100881585494
Fundc2,0.7583373652522046,3.131716162972725
Fam162a,0.7571903366427849,1.7678265728819902
Apmap,0.9364452406327322,1.8698967494395955
Alkbh4,0.5886303680531927,1.4756315309904922
Rexo2,0.6589996180851333,2.1732273538006455
Tmem126a,0.7698546534459444,1.769132649035074
Phyhd1,2.9286412168482054,3.5253621953797927
Cyb5r1,2.0510724059103738,2.5851015474332013
Acadsb,0.6594389741487672,2.6385633944665643
Cyb5r3,0.6955951194671139,1.5750130985371096
Sacm1l,0.9105671197544839,1.6278024792762718
Sil1,1.1722924104761685,2.6129487624968517
Erap1,0.9823469342556971,1.4194637313435239
Suv39h2,0.6420128912405415,1.5594688902320528
Yipf5,0.8685046816846269,1.837531812236378
Elp4,0.5125931143505542,1.695521753119263
Cmtm7,0.6453347283947987,2.760512147000326
Dkc1,0.7357407671259022,1.5566143020324907
Dpp7,0.8649261583482264,1.3587801543421574
Sphk2,0.6013272703959316,2.271453514310566
Tmem47,0.5824481399120183,1.475105250578627
Atr,0.8300823341569906,2.38547512751443
Ndufaf3,2.0879385965074566,2.4825465752958102
Nudt5,0.6015369998977466,1.8583069666357164
Fanca,0.6212741096124562,1.5166451242935453
Zmym3,0.6664424199573504,2.783370266626701
Dclk1,0.5581690617543527,1.516278341274731
Pnkp,0.5558182031322104,1.9070925757127801
Crlf1,2.028123921506092,1.8485339323448642
Srf,0.8890680549884247,1.6984178534927463
Glrx,1.0452560114856648,1.6236176928609791
Dguok,0.6435060143335091,1.4649956579479166
Ggcx,0.5752937041934005,1.4074657650183984
Acot2,2.5987497997385587,1.8483377679471655
Ecsit,0.5831903374960334,1.497790037700958
Ifi202,1.538574045718283,2.2351711442137576
Tbl2,0.5616240344181598,1.7966840219014284
Gpaa1,0.6005524850651311,1.4746036542404142
Slc7a11,3.781739480524373,2.325534744332934
Aqp5,4.524106987275252,1.4239812230741427
Lemd3,0.6298722321658875,1.7085446721313917
Tmem115,0.6235423234583652,1.6373023914274323
Cpq,0.9002096897369994,1.434287807051913
Timm17b,0.7856100368279726,1.514265389747518
Klf5,0.9950206320524813,1.464342177373506
Aldh18a1,0.8051998123528602,1.8411925995644565
Gys1,0.6532530184958993,2.251809693482838
Pex11b,0.7924505401440513,1.6358442774628024
Baz1b,0.7936511334222403,1.3678822892067453
Itpr2,1.4566187135195445,1.3823092868455917
Gphn,0.7015501885682349,2.170381545147706
Sh3bp1,0.7616348985303956,1.9550696743760836
Slc35d1,0.5621682821291447,1.625922326912978
Upf2,0.5207298952844366,1.582634876880152
Ubtf,0.5331265693782594,1.6600434145821503
Chd3,0.6232115192631198,1.5449963825790685
Uhrf1bp1,0.865842858275154,2.5612955070738663
Zfc3h1,0.5686364749368238,1.5441889035115335
Pdzd8,0.6801431652375041,1.345374432549378
Zc3hav1,0.8714354562299681,1.5450131795985018
Tln2,1.7755741738823798,2.361990353873959
Nrxn2,0.5924238192261446,1.597594818899775
Mki67,1.3659459275348422,2.197068673686578
Prr12,0.5985971449502401,1.3598266559633554
Gm20425,0.8323612354322415,1.6117066948714585
Abcc4,0.91858483398074,1.841155997670924
Ctage5,0.9956409315387075,2.1680057818746303
Lphn2,1.6564538273821914,1.606933861748736
Bod1l,0.5166783527481144,1.4427737309687223
Dennd4a,1.2319402596746525,1.7941962613471398
Slc12a2,0.8112405638839186,2.5820359579378103
Pdgfrb,2.4732552477500804,1.7584197665437074
Nop2,0.6726449353032211,1.4048803415598854
Kri1,0.9885721822121714,2.513280461613049
Xrn1,0.7980353045742986,1.3700830372251551
Kdelc2,0.5453757793484132,1.715938712270765
Naglu,1.0190484249659761,2.658921004339455
Dhx37,0.5693631702324293,1.4047103674986847
Bms1,0.5460750897778048,1.4120381120636891
Mettl7a1,1.1467127579384035,1.6414960367335933
D17H6S56E-5,1.672639889810104,2.0190970697901798
Shmt2,0.885023312061006,1.863351638017383
Ifrd2,1.2085870585034137,1.9441948246372538
Arhgef10l,-1.2781072345864601,1.3251833762904737
Arhgap31,-0.5086592441685225,2.2191978554829683
Cisd3,-0.529112640036791,1.9155010710180276
Ccdc6,-1.0535320191479476,2.0968628277399723
Tspan15,-0.5274363710240135,1.850299460641581
Ebf3,-0.5924090488573646,1.6166713623786204
Galnt4,-0.5761410968427031,1.7549149970486033
Tuft1,-0.9640246515116089,1.3996896671604877
Sdcbp,-0.9880152061050276,1.8048538612590932
Atpif1,-0.7809246908923058,1.711636436911374
Nedd9,-0.7143085591152111,1.4627858631181225
Crcp,-0.590095942443816,1.3486374681704605
Neu1,-0.5611104743521413,1.452785650661092
Nudc,-0.7644677275795698,1.4089834392452598
Ccrn4l,-0.7530421999853552,1.4039152258533016
Gamt,-0.6152270839768815,1.4562092667990203
Dapk3,-0.5064181279662898,2.304649287756993
Cd200,-2.751381396737473,2.042483742953437
Dnajb6,-0.7397416388879746,2.066955730247287
Tspan6,-0.979679546086783,1.5369813312132263
Stx7,-0.5568278925923277,1.592183116480035
Mid1,-0.7949067758456579,1.463101767743571
Cfdp1,-0.6108798010970092,1.9927266487974236
Hsd17b7,-0.9642632704766627,2.4342010219591814
Apaf1,-0.6768240708784679,1.5606460891031355
Olfm1,-1.019951120055242,1.3346058383739137
Cpd,-0.9220442634201788,2.9514414550975965
Col4a1,-1.4185684415703284,1.718655010890779
Lamb1,-0.5072199408984369,1.6399074288242987
Src,-1.0689756376766029,2.15663976310177
Plau,-1.151893467616303,1.447649636212666
Hsp90b1,-0.5507539266803716,1.7553334201296327
Col4a2,-1.301527689290392,2.0714941786440515
Nefm,-4.116223651107558,3.860065544647405
Fth1,-0.6998312390136684,2.0168970985090233
Chtf8,-1.1065830365350628,2.449577551107514
Anxa1,-0.8744776569285642,2.1606545932520005
Cdk1,-0.578116277807686,1.372030590588281
Cox5a,-0.7730285243389382,1.4344252987457196
Scd1,-0.9067890870679897,1.6490815790501616
S100a6,-0.6660776967496472,1.9694347343161582
Jund,-1.2903602642690262,2.1355442208266577
Gstm2,-1.4467362234753165,1.481682654644333
Cox5b,-0.854050188956286,1.4225380323023098
Vim,-0.606527496701768,1.5523210421217308
Map2,-2.4437635016353028,1.6941233801272124
Timp2,-0.5714788326436346,1.9975175173763653
Ezr,-0.5921857580297494,2.1990222803870614
Aco1,-0.5243729205261105,1.62076942859147
Ftl1,-1.2323809044914287,1.316953146217373
Ctnnd1,-0.6986328782622175,1.5388397394312694
Dbi,-0.5428794716710651,2.1325133063416954
Ptprk,-1.6480235842983624,2.0364547971653555
Fyn,-0.9791498220847741,1.3756120318107798
Rangap1,-0.5251727834772522,1.9892824286198052
Igfbp2,-3.144831304275216,2.106094881693391
Clcn3,-0.8828978931164856,1.565318377366793
Gss,-0.5415355524504364,1.7933413932062046
Apod,-0.71821091246409,1.320931644592004
Limk1,-1.188267584227595,1.6236834105658775
Rad23b,-0.6467121212212815,2.192743257076595
St3gal1,-1.9397480845304818,1.3301457443993014
Nudt2,-0.5185502341585195,1.8006231725920334
Cks2,-0.5807630615470855,1.565280492965407
Cox17,-0.9138297868783952,2.532074501609151
Tdg,-0.8559421347197305,1.952397357354749
Idi1,-1.0232744454128089,2.9036802394403876
Eef2,-0.6212416265485342,1.5542682592431702
Rin3,-1.8258325638861657,1.3948628406123038
Gabarapl2,-0.9079800805477083,2.452781166057013
Chp1,-0.6276295833772437,1.336778630994922
Ube2d3,-0.5866657300599459,2.0007802897948483
Ube2n,-0.5580729088400633,1.3709569991968815
Rras2,-1.0306706075118515,1.717325145174325
Timm8b,-0.8752799978536011,1.5164004666558024
Tspan5,-1.0098993180614997,1.469433644320986
Lsm3,-0.5670430127225138,1.3464128408334544
Rhob,-0.753932024657603,1.7419191493437496
Hpcal1,-0.9731035575063005,1.399975526164636
Tpt1,-0.9099601164018247,1.603520909752693
Crip1,-1.4965942156227918,1.4280482252821192
Ywhaq,-0.576486417710627,2.2124573524747806
Tuba4a,-0.51652779794836,1.651529684289732
Tuba1a,-0.5918812870505702,1.9212729643379347
Ywhah,-0.7857399912739579,1.9252195662305251
Lxn,-0.5840975365906594,1.9344024631326535
Il18,-1.163135033778362,1.487253428417458
Slc9a3r1,-2.2047427508044857,1.6799472125315655
Erf,-0.6012465761849322,1.8715212569034358
Casp3,-0.9594392525546801,1.9013835669254062
Urod,-0.6123495273685097,1.9160365450833559
Pkp1,-0.7643688117539214,2.2716226035390554
Anxa11,-1.0545382703232138,2.5158965616834417
Vps45,-0.6218173785724145,1.4024514320566337
Smad5,-0.7077810654338048,2.471485425756397
Hn1,-0.955738828958214,2.407179247553817
Bmp1,-1.003935143564956,2.2275752436396017
Arvcf,-0.785710236811961,1.3627507208002778
Vcp,-0.554651858580041,1.7640037173028131
Jup,-1.6371022602314955,2.2356419340121803
Ank1,-2.9097221121351278,1.7638550005345859
Cdk16,-0.7327751667634532,1.8569965556339276
Sox9,-1.1807981263017444,1.6030343187039275
Cdk18,-0.9572028747465386,1.7612105104220734
Hspg2,-0.9499236177983081,1.5125734599779512
Fabp5,-0.8613047417049736,1.4672572606980556
Sh3bp2,-0.7662215789717481,2.2228666792890044
Mtf1,-0.6869838965087632,1.4936208419036454
Gata4,-0.8817237484073317,1.4741483436564764
Trio,-0.5260656184878846,2.051971635576272
Dusp27,-1.5249171507666637,1.7138365191789575
Tradd,-0.793474684322521,2.1772906452591227
Fam193b,-0.6035711817320922,1.5470469320602176
Esyt1,-0.816591057186011,1.6052480592784828
Lrrc58,-4.923175584396976,2.997898241674723
Tubal3,-0.6278980232809734,1.6326660196164
Olfml2b,-1.5129293510092048,2.0806888368383927
Lace1,-0.7206150536927216,1.3902045309737003
Arap1,-0.5254449753526064,1.5505758395420823
Ece1,-1.1023708060459512,1.5033865739081749
Osbp2,-3.650188680774422,1.9284307997867616
Ankrd40,-0.7710264455683142,1.6614943260377262
Grb2,-0.7692444784292207,1.684521584439498
Bag1,-0.6417907242754811,2.2087317262573976
Tnfaip3,-2.0119151061957425,4.2967914478341696
Vav2,-0.5747978625222884,1.3276588439267725
Scarb1,-0.6231433605177078,1.4464842020665354
Pafah1b3,-0.6548712676900715,2.552258102278644
Six4,-0.6649363985984833,1.92587266744009
Fxr1,-0.5556256042564987,1.3418409987297681
Itga7,-1.5449337097559135,1.3392985429159625
Pea15,-0.6474298007313639,1.401799142879288
Ppp1r14b,-0.6851434115617282,2.4572430736112505
Six1,-0.524894711117527,2.1991051580285745
Phlda1,-1.2515202966980166,1.4138402471048301
Vat1,-0.8145625963825945,1.6873259175474016
Cdk6,-0.8195181796052804,1.3479737281283029
Atp7a,-0.5643333381171606,1.8839368776683347
Vcl,-0.6891958827386022,1.3515207500368787
Fam65a,-1.1272375179910041,2.4274872824823794
Sh3rf1,-0.6131464228529936,1.743472109466016
Jmjd1c,-0.7301259061744483,1.5407450253441706
Atg16l2,-0.5669786977311989,1.9250209300808745
Polr3g,-0.5203818597897039,1.6343630292123243
Dnajc8,-0.6315084371476367,1.335860874593365
Soga3,-2.3440260126817187,1.810178748754266
Gga2,-1.1410595360477027,1.5927654537804365
Ttyh3,-1.5294556480092247,1.7845745434746272
Filip1l,-0.972234906648072,1.3530638819973193
Herc4,-0.5806838910498444,1.7122231473266065
Dync1li2,-0.5517959995394004,1.6904842709671268
Nbeal2,-1.3813653159128823,2.0741843243159512
Ndufa12,-0.8469944954609464,1.8016121066740893
Tubb2a,-0.8703381965854982,1.6263843653591121
Cpeb4,-0.6439847084135665,1.452351791964942
Eml2,-0.5900018368794528,1.505613984016432
Slc7a6os,-0.7924636142038733,1.52755099182133
Map6,-0.5096226127230261,1.5397865260160333
Sestd1,-0.6274474913298651,1.513930066266326
Trit1,-0.6467803698177075,1.799223450017681
Chn2,-0.7793126020039854,1.8763249363933556
Eif4g3,-0.8705273752573082,1.7485429108123514
Bsdc1,-0.5183186187653084,1.6706579020723897
Tnc,-2.1409084217600314,1.3166948565921486
Rusc1,-0.548969330929634,1.3345449988590778
Gopc,-0.5993435705818887,2.528936320423441
Serinc5,-2.100682689080611,1.8043509329257
Chdh,-3.9856988190864198,1.755681167061208
Fbxo30,-0.7179555787742842,1.8512610770131577
Sfr1,-0.9499778202678895,2.1644500773112103
Daam1,-0.7404852699409965,1.9140840128503245
Arf2,-0.7032380403484086,1.571383373925075
Ankrd52,-1.1087352486896132,1.31338290673842
Pdcl3,-0.5553695731507551,1.5493766254609094
Pithd1,-1.1813460935193627,1.366929008247585
Rhpn2,-0.7315753820006816,1.5392349357146133
Taok3,-0.5503662239216249,1.679310887795456
Ston2,-1.9527520161544363,1.83668659196075
Dhx32,-1.4265822771106929,3.415867712785007
Sowahc,-0.9725071404817555,1.5305537074253093
Klhl30,-3.260805502754279,2.4420490136920248
Uba3,-0.5527398995153409,1.3903076271079782
Gan,-0.8786815038453882,1.4697185530274448
Nhsl1,-0.7689985845408654,1.3638742165197502
Acat2,-0.5330494765896928,1.7714135659719943
Samd4a,-0.556828373488209,1.8905311690549682
Mknk2,-0.7623110333399113,1.6351601082662304
Scyl2,-0.5981178056877048,2.376188928026645
Slc38a2,-0.9633978197946867,1.3727545871019935
Cdc34,-0.9221142476242538,1.8505032520990596
Akr7a2,-0.5507138401481547,2.15362027002465
Arhgap29,-1.2033712865585366,1.5153667640399213
Lrrc20,-1.1895582298865743,1.9003174778915253
Plcg2,-2.7177429518376868,1.4254401008351887
Hmgcs1,-1.4887266497421272,1.885790060498022
Cdc42ep2,-0.9252673016294891,2.0171893161360783
Cdk17,-1.0031196063685108,1.9308194482660834
Kiaa0319l,-0.9296347946944942,1.5116562062496552
Slc31a1,-0.5980260479346743,1.6500623601554927
Lyrm4,-1.4559935191006703,1.7957056733179109
Fbxo45,-0.5947898149906853,1.6519499400716329
Swi5,-0.8896440424011081,3.7157819748812186
Stxbp5,-0.8157302954063779,1.4748973295937764
Ahsa2,-0.510355851957024,1.530111178424609
Gale,-1.4251069118662765,1.5391068890290611
Pttg1ip,-1.19402234193069,2.1744724821777837
Cmbl,-1.0055671351627953,1.535413634422498
Iffo2,-0.9647215960490096,1.530529612967209
Hs2st1,-1.0819374787703784,1.8521944271721822
Tcf25,-0.6158008250802787,1.6174302186061418
Cadm4,-2.817563371070464,2.0496794473712967
Rufy2,-0.529314686365105,1.4129761059010741
Mpdz,-0.6398435731620135,1.8023234231811054
Camkk1,-0.970598484933439,1.530296071592466
Ak6,-0.5054650440729566,1.9710132164412277
Ppcs,-0.5178574309033513,1.6708529710873639
Setd7,-0.6121257555729529,1.7294941152537346
Nudt16l1,-0.5999110630178299,2.0908802009247798
