,log2 Fold Change,-log10 P-Value
Cdr2l,0.709906196283021,1.5717068971396475
Pnpla7,0.9686780136969865,1.3565855720123583
Wdr76,0.7185423142317363,1.5492123883261537
Zcchc7,0.5561119685934423,1.3261746500446847
Zcchc11,0.591617804109702,1.6301100066071843
Mndal,0.5973749539149715,1.4151212864467215
Farp1,0.7080324105287954,1.6974222981616922
Emd,0.78125256472269,1.3748295084472573
Gtpbp1,0.6631872023471711,1.3325734801193434
Akap1,0.7909553659093503,2.3312357008100997
Tcof1,1.0808097254709983,2.6612230787488116
Prkcsh,0.6537120767132829,1.505893601305071
Grcc10,0.812722312448751,2.4160845067362695
Abcc1,1.1929591710521845,1.3519340405919538
Hax1,0.8122020434050901,2.6041110186466705
Bok,0.7544253929103296,1.4400658361831753
Ppt2,1.5338037121591925,1.5470320381101839
Bet1,0.8028979637617505,2.09790913352442
Per1,0.9174421033890792,1.3936231785455104
Acot1,2.8486110370233,2.101458153536561
Bard1,0.6623989805402433,1.7841834179403684
Vamp4,0.6432669517707489,1.5057803720588863
Avil,3.470142332588936,2.15658448762725
Sap30,0.5788262695173636,2.2041083948424895
Rbbp9,0.6551786400997645,3.318807268695422
Mtnd4,0.563153146514154,1.600425755934094
Mtatp8,0.7477872417819911,1.3278962205509004
H2-K1,1.1722249392319182,1.7630775707616964
Enpp1,1.9797020173521327,1.7882506810196008
Gas2,1.4233530577678408,1.3515535652951758
Serpinb2,0.7870154583300772,2.4506603744939284
Gsta1,1.6397914209420215,2.4208949908003965
Dnmt1,0.9710864279559015,1.430454941947368
Glul,1.1959467396581123,1.384345093861272
Thbd,3.070716142625512,1.567687919290752
F2,0.7601908648506235,1.5964493244682099
Sars,0.6220044247177045,1.9431807420924367
Cebpb,1.6042290647705126,1.3306856506779
Slc6a9,1.3812532002348106,1.4063357130661507
Bgn,3.357260289025987,3.831252497529343
Ptpn6,1.629956347116464,1.34134863414514
Ppic,0.5873911187816893,1.4772043424191192
Map2k1,0.5025498365143751,1.821504978733994
Wars,0.90982631930805,2.397007439347184
Ttk,0.5372875323178513,2.4291085143477735
Cpox,0.7172013290117522,1.3563957257978894
Nr2f2,0.7021514999872117,1.5757535324518914
Nedd4,0.9256708897821142,1.329235373748806
Pla2g4a,0.9932005975038627,2.4043407075928553
Aldh3a2,0.5068899120098916,1.6901916016296472
Cbr1,0.661573647220572,1.3589897664761625
Cenpc,0.6073496310739289,1.3414770873975141
Shmt1,0.5713569689689005,1.8068890029069309
Tst,0.6076540258216968,1.5435289167132211
Pold1,0.6032359225779675,1.8248218269179017
Fgd1,0.5571881731129358,1.7449292846366213
Efnb1,1.3561156984141687,1.3374838458636105
Dbt,1.3027612635156165,1.590514007355051
Abcd3,0.6488546159261572,1.9577416340667002
Adk,0.5599737916702,2.4210100393827187
Foxp1,0.8425263185720355,1.7242433629848737
Ctdspl,1.043832983171869,1.758227429100402
Tnks1bp1,0.5442290297831288,1.436778099699547
Pdrg1,0.7720313004955253,1.3944379984787563
Espl1,0.6835233179880561,1.5404244745082032
Ppp3ca,1.141029221906802,1.980316514313366
Map2k6,0.8558072346244782,2.0744202087916848
Aup1,0.7635776280242351,1.4404836514974473
Irs2,0.8918462721084763,1.7885400373693499
Cpt1a,1.2292374405505404,1.8469106613392263
Nfib,1.5782474277095222,2.020713435687917
Vldlr,4.1559021892868895,1.5251098078234913
Hmmr,0.5076396340039172,1.6892208689102628
Rcn1,0.5725093633514011,1.9927744045666884
Pc,0.5277173103672563,2.7019527456738865
Ptpn2,0.7154332150623403,1.7553084957328233
Cdca2,1.0071282895317049,2.1108637929811134
Dus4l,0.5547849320833457,1.737911886562803
5-Mar,0.8976399290122108,1.3989668351257414
Stt3b,0.7514176056711521,1.9392288705565381
Usp39,0.5446326975419709,2.562677233339993
Uri1,0.78155569001814,1.9532423586964376
Dtl,0.6642206765924747,2.1483263851714125
Itprip,1.18058513356044,1.5439050288639287
Foxred1,0.5260612151830705,4.070323947828066
Zfyve27,0.7021860308206522,1.5007185893858308
Xxylt1,0.9860136330879636,1.4782092446280173
Tbrg1,0.6608909253823486,1.3873763316989849
Ndst1,0.8281354532718774,1.6214796185549487
Naf1,0.5657899387525549,1.4735294661749012
Narg2,0.5920447183857284,1.8084038530660704
Ckap2,0.7223824389530894,1.5484535473658698
Atad5,0.5623443296963705,1.3148994789566808
Afap1l2,0.9887694389548951,1.3517375627619068
Ttf2,0.5625531507600813,2.213255670897495
Trim41,0.5248495353171178,1.5292148321247014
Mdc1,0.9082739613428843,2.571094884488443
Tns3,0.5832399117287377,1.401198050559268
Rap1gap2,1.6056719301609268,1.3741831574475898
Myo1d,0.5822978180625635,3.335841910660622
Rnf123,0.5819585422507226,4.8996005254702615
Sin3a,0.6710017010694824,1.3874393875777478
Clpb,0.5245422021922086,2.0501485939990656
P4ha1,0.513179256404159,2.664767127326374
Slc30a1,0.5131102249152627,2.0392826060214726
Col12a1,1.1483114786284327,1.562326886043369
Pml,0.7243155155896084,1.4110068352029579
Fdxr,0.6057653865335935,1.3790132571695515
Arhgdib,1.4131517010526755,1.4706167455273689
Pdcd4,1.100547343463763,1.6400561020561548
Shh,0.8059062149183354,1.9349133634823974
Atm,0.9596641728908362,1.9387751765052217
Ppp3r1,0.6522864959096917,1.9202352420953208
Aebp1,1.058697029093427,2.092859314104174
Ptpn13,0.6840538957536098,1.3568624272686995
Cr1l,1.1244246397160802,1.5049267209716841
Retsat,0.7318622470920242,1.887247367878659
Papd5,0.6269883165264178,1.7164296696407206
Kiaa1549,1.2158566707721126,1.5329412146942543
Nop58,0.5651291018220937,1.4733199027867476
Kdsr,0.9784664670280834,1.6057382268615676
Pdcd11,0.6417002137867479,1.461115090345854
Fam134a,0.6675289637848532,1.689271268753864
Tbc1d31,1.7049584071419073,1.529162916046562
Hdac4,0.9352663474425036,1.8569397057099517
Kdm2b,0.543605328912029,1.4036726276714495
Znf280c,0.5622606985836788,1.806321192483425
Polr2m,0.6442584287772389,2.2060043947383146
Tsen2,0.6698054479660921,1.9782734720084127
Tatdn1,0.5248702317769528,1.9955359612447205
Hjurp,0.5933782176351424,2.0689912778281117
Bnip1,0.5467288517087383,1.4139130457065938
Smpd4,0.7136026560466338,1.7720694768873013
